序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
35,資工系,111C52097,芰恝倊,tszIxa8I0T,6,1,5,9,8,5,7,9,1,5
36,資工所,112C53351,哾怏搻,wqZ8VOYlHb,7,0,7,4,9,5,4,3,4,2
37,電資資安,112590337,禞鹒摜,R9qWTninag,2,5,6,8,2,1,5,8,1,7
38,電資資安,112590747,镬诘馆,iNywC3Nw3H,3,4,4,4,2,5,9,5,1,5
39,資工系,112590777,挵唵禶,uKxPYwi7oi,4,5,6,9,6,6,2,2,4,4
40,資工所,111C52664,瑃帺镞,nIo0Nt9lux,5,2,3,7,8,4,2,1,4,1
41,資工系,112598916,鍿椫櫠,oFRBtAxvsU,9,0,8,4,4,3,2,4,4,2
42,資工所,112590828,笃唀醱,dOo3a7kuzb,5,3,1,4,7,4,8,2,7,6
43,電資資安,112C53607,苎隬蜤,AgRdu5fD6a,6,3,1,9,1,3,8,8,8,3
44,資工系,112598235,闺柂銕,U6IFnKiI8e,1,0,1,8,6,3,2,0,9,8
45,電資AI,112590233,累證寑,ReYbK6hdgG,4,0,1,9,6,3,8,6,7,9
46,創新AI,111590342,麆殌碌,lMpnBED1Jz,3,5,1,3,6,8,2,4,2,2
47,資工系,112C53311,忢柔受,uViiUlzbnu,7,4,4,2,8,5,5,7,1,6
48,電資資安,111590243,酵役襂,YlJfDuyG79,4,2,6,9,6,4,7,7,5,1
49,資工系,111590105,墺棳抑,EpzeqEJsZ0,3,3,4,6,3,8,0,6,9,1
50,資工所,111C71918,浍蕔櫜,3oZTkriaUx,8,0,8,6,7,2,2,2,4,1
51,創新AI,112590537,佦玿磓,0q2aupYaGM,6,8,0,6,8,0,9,2,1,1
52,資工系,112C53384,匌梛萵,Td5MuUDDY9,6,4,1,1,0,9,2,1,6,8
53,電資資安,112C53540,鵖僒躢,76qoVatu5d,9,7,6,5,0,6,1,0,7,0
54,資工所,111590811,喏兄旘,RRDQeV01vi,8,1,4,6,3,6,5,0,5,9
55,電資資安,111C52963,陸朰峂,2m01wVnc2a,7,3,9,7,1,5,7,2,8,7
56,創新AI,112590219,謦駶怄,L20sQkNGNZ,3,1,5,2,1,8,1,0,5,0
57,資工所,111C71972,穨諀絯,0uFOzpRvw3,0,0,0,9,6,4,5,5,0,4
58,資工所,111C52049,璹燲扁,oPCNUw7bmR,5,7,3,8,5,1,2,9,2,4
59,資工所,112590509,陚浉躑,ot1AtnRC1w,9,7,9,5,4,2,0,9,0,6
60,資工所,112590517,緤話楲,RXeyQgw0Qw,8,1,5,7,2,3,7,1,2,9
61,電資AI,111C71857,汅焷靬,EM4W8URiNX,5,9,2,2,8,2,9,4,1,0
62,電資AI,111C53459,弗濵裓,ZtZpjrJESF,9,4,3,4,6,2,8,2,1,9
63,電資AI,111598755,功茒愿,JqM6Z44E9t,6,1,1,1,1,6,0,3,4,0
64,創新AI,111C53389,桇埧抪,p7mwLM7SBA,3,2,4,8,3,5,9,6,9,7
65,電資AI,111598081,膈凑擢,PiTIu8NTbe,3,3,7,2,0,5,2,9,5,4
66,資工系,111598871,謑甂龡,ltsiG8zOBR,3,8,1,8,0,3,2,9,0,4
67,電資AI,111590156,崊鏃矌,OG6oniCGR2,9,4,2,8,7,9,3,2,6,4
68,資工所,112C71378,腙弽潵,ei7X3kbHPU,3,8,6,8,4,5,5,0,9,8
69,創新AI,111598452,駄舕柰,5qEEFc65Rd,0,4,9,1,6,0,2,8,8,0
70,電資AI,111C52329,趌汔诮,ayUcfXQqAp,0,5,5,0,3,6,1,4,6,6
71,電資AI,111C71508,玕夌酟,XNBfRtHueJ,2,1,2,7,5,5,0,1,3,7
72,資工系,111C53640,孜嗙娒,clh3t384w9,4,8,3,6,6,9,2,4,0,1
73,電資AI,111598999,戠树傜,qcwI78rH3I,3,3,7,6,3,3,6,6,8,9
74,電資資安,111590664,恝泐膺,hmUIKQz7rF,6,8,2,4,3,4,2,3,3,7
75,電資資安,111590803,儢囊嵦,SXuuqQ4uyZ,6,9,7,4,4,9,6,9,9,3
76,電資資安,112598596,閲莒膘,plDgtv9Xp2,2,5,4,9,5,2,0,5,5,0
77,電資資安,111C71126,厩怟釤,k9MhdCCia7,1,9,2,0,5,2,9,2,7,8
78,電資AI,111598441,弗徒淙,ZSUW7ueNUh,1,3,7,5,6,2,7,8,3,8
79,創新AI,112C71804,罙毯嶁,FvAXBE9AAA,5,9,1,2,0,9,0,4,0,9
80,資工系,111598352,梼輮際,D82UiI8DMy,4,1,0,9,8,2,5,9,6,9
81,電資資安,112C71305,慡戤刮,RDXnzxAn8Y,8,1,2,0,3,1,8,7,2,1
82,創新AI,111C52735,紝葬煖,1GPh1FJJyb,7,0,5,9,7,8,6,8,6,7
83,資工所,111590970,廨鉉鬲,I5xJaLovSh,1,1,6,4,8,7,9,3,5,8
84,資工所,111C52428,樶颤蘶,8Pdg2aYCDi,9,5,2,1,3,6,7,7,5,8
85,電資資安,112C71679,妆屁鏲,wnxWcROSvO,4,1,6,1,3,0,7,9,8,9
86,電資AI,112C52378,欂辣朼,UTB0djoYpx,5,1,6,9,7,8,8,8,3,5
87,電資AI,112590238,阾恝貌,c0dFP4eWGk,2,0,7,9,4,9,4,3,3,9
88,資工系,111590081,壃柞蔮,oympsWtz9R,5,0,2,6,4,3,8,2,8,4
89,創新AI,112C53365,恸権爘,l8PfxjwJHc,2,9,5,0,3,4,1,3,5,5
90,創新AI,112C52828,呬曕糗,AX316BkJmw,1,9,3,6,3,0,3,3,6,0
91,創新AI,111C71386,引麊迵,pGE49op57D,6,0,1,0,4,4,8,5,8,0
92,電資AI,111C52253,襀馔慶,jTLRz0NuID,0,6,8,5,3,4,6,6,9,4
93,創新AI,112C53005,屎瓅阜,6HHLpRx90y,6,4,9,0,5,5,8,2,2,3
94,電資AI,111C53433,靈舌隍,XR95PYAiIF,5,3,1,9,6,6,5,5,1,0
95,資工所,112590968,紣趿攃,EY5A4sYU51,0,0,9,1,1,0,6,3,0,3
96,資工系,111590480,葻鬼貁,oXDFwbU95u,5,9,8,0,9,0,8,3,4,1
97,創新AI,112C53575,佒鮴耾,fUIORds2TP,2,8,0,4,9,4,8,8,6,1
98,資工系,112C71102,椵脼珐,kSSSMLy8ek,6,6,2,6,0,3,4,8,0,6
99,電資資安,112598413,鲰女奃,jBuHentp3K,0,2,1,9,2,0,6,8,0,7
100,資工系,111590844,話猫习,k1x7XojXJt,9,9,8,0,8,3,9,3,6,9
101,資工系,111C71930,沮耻諛,qEBfeYHeG7,6,0,6,2,0,0,8,0,9,5
102,資工系,112C52815,絶譚蔴,N2krhw7Fkv,6,8,7,6,5,9,6,2,6,6
103,創新AI,111C52579,衱膰鰩,O1cG04AVUW,7,7,7,9,0,9,9,2,6,9
104,資工所,112C53478,睾参賨,3we6Z1V4Hc,8,0,5,7,3,0,1,3,5,4
105,資工所,112C53176,肈鋸沔,0huATXevtD,0,8,7,0,2,3,6,8,7,2
106,電資資安,111C53660,库韥汉,v6HkBqk48g,0,2,1,5,0,8,2,6,3,1
107,創新AI,111C71754,蜍种栛,nj7uYpBFf5,0,8,6,8,6,7,8,8,0,5
108,資工系,111C52855,謴淟鮸,ZJs5MNq14K,3,0,3,6,2,0,9,8,4,8
109,電資AI,112590954,硃刎谶,023UDYH500,7,4,3,9,6,0,2,3,7,5
110,資工系,111C71876,妁鋌餐,9ijEq2Bhff,2,9,2,1,3,0,1,7,5,0
111,創新AI,112598663,羥庻郹,NF95mcmIjF,9,7,3,7,4,1,3,7,1,0
112,電資資安,111590100,舷喉氊,R1Yy6UZPHt,3,8,0,0,7,0,3,9,2,8
113,資工系,112C71460,朶蹘瘅,0w7HPNKRa8,5,0,5,5,2,5,5,9,6,4
114,電資資安,111C71747,哇擣漫,mBt9w9VZOf,6,4,1,6,5,4,5,7,6,7
115,電資資安,112C52535,験脽厂,C2heiu9GJN,9,5,0,9,9,2,8,5,2,1
116,電資資安,112598455,淪裂氼,RXR02sDGPX,1,8,8,3,7,2,8,6,0,5
117,資工系,112590776,饼淅觖,TPC9uF6Vud,4,0,5,3,3,5,5,9,5,3
118,資工所,111C71663,甥苔驟,tOq26nEXxL,8,3,3,7,9,3,4,4,5,0
119,創新AI,112590568,橰瞼宜,vXEN9jHiir,4,0,1,6,1,2,1,4,5,1
120,電資資安,112C52472,梀宵鸃,L8JFn9DFDd,6,7,4,4,4,3,2,7,3,2
